#         01th Cycle                       02th Cycle                       03th Cycle                       04th Cycle                       05th Cycle                       06th Cycle                       07th Cycle                       08th Cycle                       09th Cycle                       10th Cycle                       11th Cycle                       12th Cycle                       13th Cycle                       14th Cycle                       15th Cycle                       16th Cycle                       17th Cycle                       18th Cycle                       19th Cycle        
# Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN
  1821      11          3.08       1827      06          9.70       1837      03          6.74       1846      11          7.52       1859      04         15.53       1870      09         16.87       1882      04         10.64       1893      07         10.41       1905      05          8.61       1916      11          8.85       1926      12          9.52       1937      01         11.66       1947      06          9.79       1957      08         11.00       1968      02          7.94       1979      07          9.80       1990      02         11.37       1999      08          8.97       2012      04          6.79
  1821      12          3.10       1827      07          9.74       1837      04          7.09       1846      12          7.69       1859      05         15.81       1870      10         16.84       1882      05         10.73       1893      08         10.47       1905      06          8.83       1916      12          9.09       1927      01          9.51       1937      02         12.00       1947      07          9.61       1957      09         11.09       1968      03          8.01       1979      08          9.81       1990      03         11.14       1999      09          9.34       2012      05          6.48
  1822      01          3.21       1827      08          9.74       1837      05          7.14       1847      01          7.70       1859      06         16.07       1870      11         16.78       1882      06         10.83       1893      09         10.46       1905      07          8.82       1917      01          9.42       1927      02          9.51       1937      03         12.18       1947      08          9.53       1957      10         11.15       1968      04          8.11       1979      09          9.81       1990      04         10.97       1999      10          9.68       2012      06          6.21
  1822      02          3.28       1827      09          9.69       1837      06          7.11       1847      02          8.01       1859      07         16.13       1870      12         16.59       1882      07         10.87       1893      10         10.39       1905      08          8.61       1917      02          9.93       1927      03          9.50       1937      04         12.33       1947      09          9.41       1957      11         11.19       1968      05          8.14       1979      10          9.88       1990      05         10.89       1999      11          9.86       2012      07          6.03
  1822      03          3.23       1827      10          9.73       1837      07          7.17       1847      03          8.20       1859      08         16.13       1871      01         16.38       1882      08         10.83       1893      11         10.42       1905      09          8.45       1917      03         10.48       1927      04          9.51       1937      05         12.32       1947      10          9.41       1957      12         11.17       1968      06          8.10       1979      11         10.03       1990      06         10.70       1999      12          9.86       2012      08          5.99
  1822      04          3.03       1827      11          9.88       1837      08          7.13       1847      04          8.39       1859      09         16.16       1871      02         16.19       1882      09         10.62       1893      12         10.49       1905      10          8.53       1917      04         10.79       1927      05          9.51       1937      06         12.14       1947      11          9.44       1958      01         11.14       1968      07          8.05       1979      12         10.10       1990      07         10.66       2000      01          9.89       2012      09          5.94
  1822      05          2.85       1827      12         10.08       1837      09          7.12       1847      05          8.95       1859      10         16.14       1871      03         15.94       1882      10         10.48       1894      01         10.56       1905      11          8.62       1917      05         10.96       1927      06          9.42       1937      07         11.99       1947      12          9.41       1958      02         11.20       1968      08          8.04       1980      01         10.08       1990      08         10.81       2000      02          9.84       2012      10          5.88
  1822      06          2.81       1828      01         10.28       1837      10          7.27       1847      06          9.36       1859      11         16.14       1871      04         15.63       1882      11         10.30       1894      02         10.47       1905      12          8.69       1917      06         11.25       1927      07          9.31       1937      08         11.90       1948      01          9.40       1958      03         11.21       1968      09          8.12       1980      02         10.03       1990      09         10.99       2000      03          9.86       2012      11          5.93
  1822      07          2.80       1828      02         10.46       1837      11          7.60       1847      07          9.72       1859      12         16.27       1871      05         15.36       1882      12         10.29       1894      03         10.28       1906      01          8.82       1917      07         11.51       1927      08          9.26       1937      09         11.89       1948      02          9.34       1958      04         11.09       1968      10          8.24       1980      03          9.98       1990      10         11.11       2000      04          9.94       2012      12          5.94
  1822      08          2.79       1828      03         10.59       1837      12          7.68       1847      08         10.10       1860      01         16.41       1871      06         15.15       1883      01         10.55       1894      04         10.22       1906      02          8.89       1917      08         11.55       1927      09          9.26       1937      10         11.89       1948      03          9.27       1958      05         10.93       1968      11          8.26       1980      04          9.90       1990      11         11.18       2000      05          9.71       2013      01          5.88
  1822      09          2.64       1828      04         10.56       1838      01          7.82       1847      09         10.28       1860      02         16.47       1871      07         15.02       1883      02         10.71       1894      05         10.15       1906      03          8.86       1917      09         11.47       1927      10          9.27       1937      11         11.91       1948      04          9.20       1958      06         10.78       1968      12          8.23       1980      05          9.83       1990      12         11.32       2000      06          9.54       2013      02          5.87
  1822      10          2.40       1828      05         10.60       1838      02          8.08       1847      10         10.42       1860      03         16.39       1871      08         14.97       1883      03         10.70       1894      06         10.02       1906      04          8.64       1917      10         11.44       1927      11          9.20       1937      12         11.88       1948      05          9.11       1958      07         10.74       1969      01          8.21       1980      06          9.79       1991      01         11.61       2000      07          9.49       2013      03          5.80
  1822      11          2.26       1828      06         10.51       1838      03          8.11       1847      11         10.66       1860      04         16.25       1871      09         14.79       1883      04         10.75       1894      07          9.88       1906      05          8.21       1917      11         11.38       1927      12          9.26       1938      01         11.85       1948      06          9.10       1958      08         10.73       1969      02          8.19       1980      07          9.73       1991      02         11.78       2000      08          9.38       2013      04          5.83
  1822      12          2.14       1828      07         10.27       1838      04          8.03       1847      12         10.86       1860      05         16.17       1871      10         14.46       1883      05         10.83       1894      08          9.77       1906      06          8.03       1917      12         11.12       1928      01          9.46       1938      02         11.85       1948      07          9.14       1958      09         10.69       1969      03          8.12       1980      08          9.77       1991      03         11.88       2000      09          9.24       2013      05          6.02
  1823      01          1.98       1828      08         10.10       1838      05          8.09       1848      01         11.27       1860      06         16.22       1871      11         14.19       1883      06         10.96       1894      09          9.75       1906      07          8.16       1918      01         10.92       1928      02          9.68       1938      03         11.77       1948      08          9.29       1958      10         10.65       1969      04          8.06       1980      09          9.97       1991      04         11.99       2000      10          9.17       2013      06          6.24
  1823      02          1.85       1828      09         10.09       1838      06          8.33       1848      02         11.39       1860      07         16.18       1871      12         14.14       1883      07         11.21       1894      10          9.78       1906      08          8.50       1918      02         10.79       1928      03          9.83       1938      04         11.68       1948      09          9.53       1958      11         10.61       1969      05          8.05       1980      10         10.19       1991      05         11.93       2000      11          9.08       2013      07          6.49
  1823      03          1.80       1828      10         10.30       1838      07          8.47       1848      03         11.23       1860      08         16.04       1872      01         14.20       1883      08         11.48       1894      11          9.67       1906      09          8.72       1918      03         10.57       1928      04          9.88       1938      05         11.73       1948      10          9.57       1958      12         10.60       1969      06          8.04       1980      11         10.42       1991      06         11.94       2000      12          9.09       2013      08          6.83
  1823      04          1.74       1828      11         10.40       1838      08          8.42       1848      04         11.01       1860      09         15.99       1872      02         14.15       1883      09         11.83       1894      12          9.50       1906      10          8.71       1918      04         10.49       1928      05          9.82       1938      06         11.86       1948      11          9.43       1959      01         10.55       1969      07          8.02       1980      12         10.51       1991      07         11.97       2001      01          9.04       2013      09          7.20
  1823      05          1.65       1828      12         10.32       1838      09          8.29       1848      05         10.63       1860      10         16.09       1872      03         14.21       1883      10         11.99       1895      01          9.27       1906      11          8.64       1918      05         10.47       1928      06          9.81       1938      07         11.83       1948      12          9.27       1959      02         10.49       1969      08          8.04       1981      01         10.62       1991      08         11.94       2001      02          8.92       2013      10          7.31
  1823      06          1.69       1829      01         10.37       1838      10          8.11       1848      06         10.84       1860      11         15.95       1872      04         14.36       1883      11         12.14       1895      02          9.10       1906      12          8.51       1918      06         10.24       1928      07          9.81       1938      08         11.69       1949      01          9.17       1959      03         10.42       1969      09          8.01       1981      02         10.91       1991      09         11.85       2001      03          8.99       2013      11          7.28
  1823      07          1.68       1829      02         10.39       1838      11          7.80       1848      07         11.72       1860      12         15.66       1872      05         14.43       1883      12         12.22       1895      03          9.07       1907      01          8.28       1918      07          9.92       1928      08          9.75       1938      09         11.53       1949      02          9.09       1959      04         10.25       1969      10          7.96       1981      03         11.30       1991      10         11.62       2001      04          9.22       2013      12          7.34
  1823      08          1.46       1829      03         10.24       1838      12          7.56       1848      08         12.74       1861      01         15.45       1872      06         14.42       1884      01         12.03       1895      04          9.03       1907      02          8.16       1918      08          9.80       1928      09          9.61       1938      10         11.49       1949      03          9.04       1959      05         10.11       1969      11          7.98       1981      04         11.57       1991      11         11.42       2001      05          9.55       2014      01          7.45
  1823      09          1.30       1829      04         10.14       1839      01          7.50       1848      09         13.56       1861      02         15.24       1872      07         14.42       1884      02         11.98       1895      05          8.96       1907      03          8.28       1918      09          9.82       1928      10          9.43       1938      11         11.49       1949      04          9.04       1959      06         10.00       1969      12          8.01       1981      05         11.77       1991      12         11.09       2001      06          9.90       2014      02          7.50
  1823      10          1.22       1829      05         10.08       1839      02          7.66       1848      10         14.16       1861      03         15.12       1872      08         14.41       1884      03         12.08       1895      06          8.94       1907      04          8.55       1918      10          9.72       1928      11          9.33       1938      12         11.47       1949      05          9.11       1959      07          9.83       1970      01          8.04       1981      06         11.93       1992      01         10.62       2001      07         10.17       2014      03          7.67
  1823      11          1.18       1829      06         10.20       1839      03          7.81       1848      11         14.47       1861      04         14.94       1872      09         14.41       1884      04         12.00       1895      07          8.85       1907      05          8.81       1918      11          9.66       1928      12          9.26       1939      01         11.33       1949      06          9.16       1959      08          9.68       1970      02          8.07       1981      07         11.98       1992      02         10.13       2001      08         10.38       2014      04          7.76
  1823      12          1.18       1829      07         10.41       1839      04          7.83       1848      12         14.50       1861      05         14.63       1872      10         14.37       1884      05         11.69       1895      08          8.69       1907      06          8.83       1918      12          9.85       1929      01          9.14       1939      02         11.16       1949      07          9.10       1959      09          9.50       1970      03          8.08       1981      08         12.01       1992      03          9.63       2001      09         10.43       2014      05          7.74
  1824      01          1.17       1829      08         10.50       1839      05          7.71       1849      01         14.44       1861      06         14.39       1872      11         14.05       1884      06         11.40       1895      09          8.62       1907      07          8.64       1919      01          9.90       1929      02          9.02       1939      03         11.20       1949      08          8.94       1959      10          9.33       1970      04          8.08       1981      09         12.00       1992      04          9.20       2001      10         10.36       2014      06          7.71
  ----      --          -.--       1829      09         10.44       1839      06          7.46       1849      02         14.41       1861      07         14.35       1872      12         13.56       1884      07         11.10       1895      10          8.46       1907      08          8.30       1919      02          9.69       1929      03          8.78       1939      04         11.24       1949      09          8.73       1959      11          9.20       1970      05          8.07       1981      10         11.78       1992      05          8.93       2001      11         10.43       2014      07          7.60
  ----      --          -.--       1829      10         10.32       1839      07          7.36       1849      03         14.70       1861      08         14.31       1873      01         13.16       1884      08         10.84       1895      11          8.20       1907      09          7.97       1919      03          9.53       1929      04          8.58       1939      05         11.09       1949      10          8.61       1959      12          9.05       1970      06          8.05       1981      11         11.35       1992      06          8.63       2001      12         10.36       2014      08          7.32
  ----      --          -.--       1829      11         10.26       1839      08          7.39       1849      04         15.22       1861      09         14.00       1873      02         12.94       1884      09         10.64       1895      12          7.99       1907      10          7.86       1919      04          9.35       1929      05          8.65       1939      06         10.80       1949      11          8.56       1960      01          8.92       1970      07          8.00       1981      12         11.16       1992      07          8.12       2002      01         10.31       2014      09          6.90
  ----      --          -.--       1829      12         10.20       1839      09          7.43       1849      05         15.81       1861      10         13.56       1873      03         12.62       1884      10         10.41       1896      01          7.91       1907      11          7.86       1919      05          9.13       1929      06          8.89       1939      07         10.57       1949      12          8.50       1960      02          8.78       1970      08          7.89       1982      01         11.21       1992      08          7.60       2002      02         10.39       2014      10          6.70
  ----      --          -.--       1830      01          9.95       1839      10          7.59       1849      06         16.16       1861      11         13.45       1873      04         12.18       1884      11         10.35       1896      02          7.75       1907      12          7.88       1919      06          8.93       1929      07          9.02       1939      08         10.43       1950      01          8.38       1960      03          8.65       1970      09          7.74       1982      02         11.13       1992      09          7.25       2002      03         10.32       2014      11          6.66
